ym:pv:watchID;ym:pv:counterID;ym:pv:date;ym:pv:dateTime;ym:pv:title;ym:pv:URL;ym:pv:referer;ym:pv:UTMCampaign;ym:pv:UTMContent;ym:pv:UTMMedium;ym:pv:UTMSource;ym:pv:UTMTerm;ym:pv:browser;ym:pv:browserMajorVersion;ym:pv:browserMinorVersion;ym:pv:browserCountry;ym:pv:browserEngine;ym:pv:browserEngineVersion1;ym:pv:browserEngineVersion2;ym:pv:browserEngineVersion3;ym:pv:browserEngineVersion4;ym:pv:browserLanguage;ym:pv:clientTimeZone;ym:pv:cookieEnabled;ym:pv:deviceCategory;ym:pv:flashMajor;ym:pv:flashMinor;ym:pv:from;ym:pv:hasGCLID;ym:pv:ipAddress;ym:pv:javascriptEnabled;ym:pv:mobilePhone;ym:pv:mobilePhoneModel;ym:pv:openstatAd;ym:pv:openstatCampaign;ym:pv:openstatService;ym:pv:openstatSource;ym:pv:operatingSystem;ym:pv:operatingSystemRoot;ym:pv:physicalScreenHeight;ym:pv:physicalScreenWidth;ym:pv:regionCity;ym:pv:regionCountry;ym:pv:screenColors;ym:pv:screenFormat;ym:pv:screenHeight;ym:pv:screenOrientation;ym:pv:screenWidth;ym:pv:windowClientHeight;ym:pv:windowClientWidth;ym:pv:params;ym:pv:lastTrafficSource;ym:pv:lastSearchEngine;ym:pv:lastSearchEngineRoot;ym:pv:lastAdvEngine;ym:pv:artificial;ym:pv:pageCharset;ym:pv:link;ym:pv:download;ym:pv:notBounce;ym:pv:lastSocialNetwork;ym:pv:httpError;ym:pv:clientID;ym:pv:networkType;ym:pv:lastSocialNetworkProfile;ym:pv:goalsID;ym:pv:shareService;ym:pv:shareURL;ym:pv:shareTitle;ym:pv:iFrame
1527064000747023024;34322390;2017-03-28;2017-03-28 13:08:06;Я - похудела;http://perm.im-slim.ru/price;http://perm.im-slim.ru/;;;;;;safari_mobile;10;0;ru;WebKit;602;4;6;0;ru;300;1;2;0;0;;0;46.146.51.xxx;1;apple;iPhone;;;;;ios10;ios_double;1136;640;Perm;Russia;32;11;568;1;320;1409;980;;internal;;;;0;utf-8;0;0;0;;0;1463065703371515230;;;[];;;;0
1527073494227224439;34322390;2017-03-28;2017-03-28 13:08:43;Я - похудела;http://perm.im-slim.ru/;https://yandex.ru/search/touch/?text=похудеть пермь&msid=1490695596.99288.22901.19452&lr=50;;;;;;safari_mobile;10;0;ru;WebKit;602;4;6;0;ru;300;1;2;0;0;;0;46.146.51.xxx;1;apple;iPhone;;;;;ios10;ios_double;1136;640;Perm;Russia;32;11;568;1;320;1409;980;;organic;yandex_mobile;yandex;;0;utf-8;0;0;0;;0;1463065703371515230;;;[];;;;0
1522740597248502440;34322390;2017-03-28;2017-03-28 08:33:14;Я - похудела;http://perm.im-slim.ru/;http://all81.ru/f/tsentr-snizheniya-vesa-doktora-gavrilova.html?from=69080;;;;;;yandex_browser;17;3;;WebKit;537;36;0;0;ru;360;1;1;25;0;;0;46.146.16.xxx;1;;;;;;;windows_7_2008server;windows;768;1366;Perm;Russia;24;37;768;2;1366;670;1349;;referral;;;;0;utf-8;0;0;0;;0;1490675593236756534;;;[];;;;0
1522744593336248999;34322390;2017-03-28;2017-03-28 08:33:29;;http://perm.im-slim.ru/;;;;;;;yandex_browser;17;3;;WebKit;537;36;0;0;ru;360;1;1;25;0;;0;46.146.16.xxx;1;;;;;;;windows_7_2008server;windows;768;1366;Perm;Russia;24;37;768;2;1366;670;1349;;direct;;;;1;utf-8;0;0;1;;0;1490675593236756534;;;[];;;;0
1522768111669086063;34322390;2017-03-28;2017-03-28 08:34:59;Я - похудела;http://perm.im-slim.ru/price;http://perm.im-slim.ru/;;;;;;yandex_browser;17;3;;WebKit;537;36;0;0;ru;360;1;1;25;0;;0;46.146.16.xxx;1;;;;;;;windows_7_2008server;windows;768;1366;Perm;Russia;24;37;768;2;1366;670;1349;;internal;;;;0;utf-8;0;0;0;;0;1490675593236756534;;;[];;;;0
1533246418132404067;34322390;2017-03-28;2017-03-28 19:41:10;Я - похудела;http://perm.im-slim.ru/;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;89.148.199.xxx;1;;;;;;;windows8_1;windows;1080;1920;Perm;Russia;24;37;1080;2;1920;950;1903;;direct;;;;0;utf-8;0;0;0;;0;1477581533429089342;;;[];;;;0
1533250214217910115;34322390;2017-03-28;2017-03-28 19:41:25;;http://perm.im-slim.ru/;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;89.148.199.xxx;1;;;;;;;windows8_1;windows;1080;1920;Perm;Russia;24;37;1080;2;1920;950;1903;;direct;;;;1;utf-8;0;0;1;;0;1477581533429089342;;;[];;;;0
1533255780082911075;34322390;2017-03-28;2017-03-28 19:41:46;Я - похудела;http://perm.im-slim.ru/#raspisanie;http://perm.im-slim.ru/;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;25;0;;0;89.148.199.xxx;1;;;;;;;windows8_1;windows;1080;1920;Perm;Russia;24;37;1080;2;1920;950;1903;;internal;;;;0;utf-8;0;0;0;;0;1477581533429089342;;;[];;;;0
1534660528474425201;34322390;2017-03-28;2017-03-28 21:11:05;Я - похудела;http://perm.im-slim.ru/;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1374&l10n=ru;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;180;1;1;0;0;;0;94.50.7.xxx;1;;;;;;;windows_7_2008server;windows;600;1024;Perm;Russia;24;35;600;2;1024;532;1007;;organic;yandex_search;yandex;;0;utf-8;0;0;0;;0;1490724663611415533;;;[];;;;0
1534664460897095365;34322390;2017-03-28;2017-03-28 21:11:20;;http://perm.im-slim.ru/;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;180;1;1;0;0;;0;94.50.7.xxx;1;;;;;;;windows_7_2008server;windows;600;1024;Perm;Russia;24;35;600;2;1024;532;1007;;direct;;;;1;utf-8;0;0;1;;0;1490724663611415533;;;[];;;;0
